cores,label,max_data_disk_count,memory_in_mb,name,supported_by_virtual_machines,supported_by_web_worker_roles,virtual_machine_resource_disk_size_in_mb,web_worker_resource_disk_size_in_mb
8,"A10 (8 cores, 57344 MB)",16,57344,A10,True,True,391828,1861268
16,"A11 (16 cores, 114688 MB)",16,114688,A11,True,True,391828,1861268
2,"A5 (2 cores, 14336 MB)",4,14336,A5,True,True,138240,501760
4,"A6 (4 cores, 28672 MB)",8,28672,A6,True,True,291840,1024000
8,"A7 (8 cores, 57344 MB)",16,57344,A7,True,True,619520,2088960
8,"A8 (8 cores, 57344 MB)",16,57344,A8,True,True,391828,1861268
16,"A9 (16 cores, 114688 MB)",16,114688,A9,True,True,391828,1861268
1,"Basic_A0 (1 cores, 768 MB)",1,768,Basic_A0,True,False,20480,0
1,"Basic_A1 (1 cores, 1792 MB)",2,1792,Basic_A1,True,False,40960,0
2,"Basic_A2 (2 cores, 3584 MB)",4,3584,Basic_A2,True,False,61440,0
4,"Basic_A3 (4 cores, 7168 MB)",8,7168,Basic_A3,True,False,122880,0
8,"Basic_A4 (8 cores, 14336 MB)",16,14336,Basic_A4,True,False,245760,0
8,"ExtraLarge (8 cores, 14336 MB)",16,14336,ExtraLarge,True,True,619520,2088960
1,"ExtraSmall (1 cores, 768 MB)",1,768,ExtraSmall,True,True,20480,20480
4,"Large (4 cores, 7168 MB)",8,7168,Large,True,True,291840,1024000
2,"Medium (2 cores, 3584 MB)",4,3584,Medium,True,True,138240,501760
1,"Small (1 cores, 1792 MB)",2,1792,Small,True,True,71680,230400
1,"Standard_D1 (1 cores, 3584 MB)",2,3584,Standard_D1,True,True,51200,51200
2,"Standard_D11 (2 cores, 14336 MB)",4,14336,Standard_D11,True,True,102400,102400
4,"Standard_D12 (4 cores, 28672 MB)",8,28672,Standard_D12,True,True,256000,256000
8,"Standard_D13 (8 cores, 57344 MB)",16,57344,Standard_D13,True,True,512000,512000
16,"Standard_D14 (16 cores, 114688 MB)",32,114688,Standard_D14,True,True,1024000,1024000
2,"Standard_D2 (2 cores, 7168 MB)",4,7168,Standard_D2,True,True,102400,102400
4,"Standard_D3 (4 cores, 14336 MB)",8,14336,Standard_D3,True,True,256000,256000
8,"Standard_D4 (8 cores, 28672 MB)",16,28672,Standard_D4,True,True,512000,512000
2,"Standard_G1 (2 cores, 28672 MB)",4,28672,Standard_G1,True,False,393216,0
4,"Standard_G2 (4 cores, 57344 MB)",8,57344,Standard_G2,True,False,786432,0
8,"Standard_G3 (8 cores, 114688 MB)",16,114688,Standard_G3,True,False,1572864,0
16,"Standard_G4 (16 cores, 229376 MB)",32,229376,Standard_G4,True,False,3145728,0
32,"Standard_G5 (32 cores, 458752 MB)",64,458752,Standard_G5,True,False,6291456,0
